Statistical values for datafile: Cerevisiae_WT2_Michel2017_trimmed1.bam.bed and Cerevisiae_WT2_Michel2017_trimmed2.bam.bed
| chromosome   | item                                        |   Dataset 1 |   Dataset 2 |
|--------------|---------------------------------------------|-------------|-------------|
| I            | Number of transposon insertions             | 16437       | 16342       |
| I            | Coverage percent                            |     7.13975 |     7.09849 |
| I            | Mean distance between insertions            |    14.0052  |    14.0866  |
| I            | Median distance between insertions          |     5       |     5       |
| I            | 25th percentile distance between insertions |     2       |     2       |
| I            | 75th percentile distance between insertions |    13       |    13       |
| I            | Largest area devoid of transposons          |  1142       |  1142       |
| I            | Mean number of reads per transposon         |    30.6532  |    30.8216  |
| I            | Median number of reads per transposon       |     9       |     9       |
| I            | 25th percentile reads per transposon        |     2       |     2       |
| I            | 75th percentile reads per transposon        |    30       |    30       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| II           | Number of transposon insertions             | 35907       | 35767       |
| II           | Coverage percent                            |     4.41561 |     4.39839 |
| II           | Mean distance between insertions            |    22.6463  |    22.735   |
| II           | Median distance between insertions          |     7       |     7       |
| II           | 25th percentile distance between insertions |     3       |     3       |
| II           | 75th percentile distance between insertions |    20       |    20       |
| II           | Largest area devoid of transposons          |  2173       |  2173       |
| II           | Mean number of reads per transposon         |    34.7332  |    34.8699  |
| II           | Median number of reads per transposon       |     8       |     8       |
| II           | 25th percentile reads per transposon        |     2       |     2       |
| II           | 75th percentile reads per transposon        |    28       |    28       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
| III          | Number of transposon insertions             | 18939       | 18864       |
| III          | Coverage percent                            |     5.98162 |     5.95793 |
| III          | Mean distance between insertions            |    16.717   |    16.7835  |
| III          | Median distance between insertions          |     6       |     6       |
| III          | 25th percentile distance between insertions |     3       |     3       |
| III          | 75th percentile distance between insertions |    14       |    14       |
| III          | Largest area devoid of transposons          |  1510       |  2698       |
| III          | Mean number of reads per transposon         |    32.1606  |    32.2942  |
| III          | Median number of reads per transposon       |     9       |     9       |
| III          | 25th percentile reads per transposon        |     2       |     2       |
| III          | 75th percentile reads per transposon        |    32       |    32       |
|              |                                             |             |             |
|--------------|---------------------------------------------|-------------|-------------|
